description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
X8+ Plus Ultra Series 8 Smart watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger - Gold,2000,4,589,799,No,smart watch,26%
JOYROOM 250mAh JR-FT3 PRO Brand New Upgraded Smart Watch Bluetooth Call Support Fitness Tracker 20 Sports Modes Heart Rate Sleep Tracker Customizable Dial IP68 Waterproof Smart Watch for Men Women Smart Watch Compatible with iPhone Android Phone Dark Grey,756,4,1089,1332,No,smart watch,18%
Wearfit Pro HK9 ULTRA 2 Series 9 Wearfit Pro (2024) SmartWatch 2.12 Inch SUPER AMOLED Display  Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,9,4.5,999,3500,No,smart watch,71%
W&O X8+ Plus Ultra SmartWatch - 49mm - Orange,170,3.9,548,950,No,smart watch,42%
"Samsung Fit 3 Smartwatch Amoled Display, Accelerometer, Barometer, Gyro Sensor, Optical Heart Rate Sensor, Light Sensor Silver",3000,4.6,2055,3388,No,smart watch,39%
"Oraimo Watch 5 Bluetooth Call Smart Watch 2.01inch HD Display Fitness Watch, 300 mAh, Scratch-resistant &Anti-Explosion Tempered Glass Screen with 100+ Sports Modes & Blood Oxygen & Heart Rate Monitor, Waterproof Light Chrome Black",2800,4.1,944.35,1399,Yes,smart watch,32%
"Amazfit GTS 4 Smart Watch, Dual-Band GPS, Alexa Built-in, Bluetooth Calls, Heart Rate SPO₂ Monitor, 1.75”AMOLED Display Autumn Brown",92,4.2,6999,7299,No,smart watch,4%
"ITEL Smartwatch 2 Ultra,2.0 IPS Display Clear BT Calling with Built-In Mic & Speaker Smartwatch (Orange Strap, Free Size) Multi",16,3.2,1050,1200,No,smart watch,13%
"W&O X9 Pro 2 (Super AMOLED) Screen Smart Watch (45mm/2.02inch) Screen | Space Aluminum Case ,",15,3.7,750,2000,No,smart watch,63%
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android Lemon Yellow",5400,4.7,1670,1999,No,smart watch,16%
Amazfit Balance Midnight,73,4.5,7800,8188,No,smart watch,5%
